State,Year,Indicator,Value
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",591
CT,2016,Methadone (T40.3),64
CT,2016,"Opioids (T40.0-T40.4,T40.6)",825
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",247
CT,2016,Number of Deaths,"30,641"
CT,2016,Psychostimulants with abuse potential (T43.6),22
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",272
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",678
CT,2016,Methadone (T40.3),71
CT,2016,"Opioids (T40.0-T40.4,T40.6)",869
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",247
CT,2016,Methadone (T40.3),72
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",460
CT,2016,Psychostimulants with abuse potential (T43.6),25
CT,2016,"Opioids (T40.0-T40.4,T40.6)",731
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",441
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",243
CT,2016,Methadone (T40.3),72
CT,2016,"Opioids (T40.0-T40.4,T40.6)",711
CT,2016,Psychostimulants with abuse potential (T43.6),24
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",551
CT,2016,Psychostimulants with abuse potential (T43.6),21
CT,2016,"Opioids (T40.0-T40.4,T40.6)",800
CT,2016,Methadone (T40.3),62
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",237
CT,2016,Psychostimulants with abuse potential (T43.6),23
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",551
CT,2016,Methadone (T40.3),72
CT,2016,"Opioids (T40.0-T40.4,T40.6)",810
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",253
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",463
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",240
CT,2016,Methadone (T40.3),71
CT,2016,Psychostimulants with abuse potential (T43.6),26
CT,2016,"Opioids (T40.0-T40.4,T40.6)",741
CT,2016,Psychostimulants with abuse potential (T43.6),24
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",524
CT,2016,Methadone (T40.3),74
CT,2016,"Opioids (T40.0-T40.4,T40.6)",795
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",253
CT,2016,Psychostimulants with abuse potential (T43.6),24
CT,2016,Number of Drug Overdose Deaths,939
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",629
CT,2016,Methadone (T40.3),68
CT,2016,"Opioids (T40.0-T40.4,T40.6)",834
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",257
CT,2016,Psychostimulants with abuse potential (T43.6),26
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",603
CT,2016,"Opioids (T40.0-T40.4,T40.6)",814
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",250
CT,2016,Methadone (T40.3),66
CT,2016,Psychostimulants with abuse potential (T43.6),25
CT,2016,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",609
CT,2016,Methadone (T40.3),65
CT,2016,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",247
CT,2016,"Opioids (T40.0-T40.4,T40.6)",832
CT,2017,Cocaine,294
CT,2017,Psychostimulants with abuse potential (T43.6),28
CT,2017,"Opioids (T40.0-T40.4,T40.6)",903
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",745
CT,2017,Other natural & semi-synthetic opioids,224
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",275
CT,2017,"Synthetic opioids, excl. methadone and rehabilitory compounds",696
CT,2017,Methadone (T40.3),78
CT,2018,Heroin ,405
CT,2017,"Opioids (T40.0-T40.4,T40.6)",968
CT,2017,Psychostimulants with abuse potential (T43.6),29
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",813
CT,2017,Methadone (T40.3),87
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",289
CT,2017,Psychostimulants with abuse potential (T43.6),39
CT,2017,"Opioids (T40.0-T40.4,T40.6)",967
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",271
CT,2017,Methadone (T40.3),95
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",848
CT,2017,Psychostimulants with abuse potential (T43.6),26
CT,2017,"Opioids (T40.0-T40.4,T40.6)",878
CT,2017,Methadone (T40.3),70
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",262
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",701
CT,2017,Psychostimulants with abuse potential (T43.6),23
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",687
CT,2017,Methadone (T40.3),67
CT,2017,"Opioids (T40.0-T40.4,T40.6)",874
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",263
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",813
CT,2017,"Opioids (T40.0-T40.4,T40.6)",965
CT,2017,Methadone (T40.3),87
CT,2017,Psychostimulants with abuse potential (T43.6),34
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",294
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",287
CT,2017,Psychostimulants with abuse potential (T43.6),31
CT,2017,"Opioids (T40.0-T40.4,T40.6)",940
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",780
CT,2017,Methadone (T40.3),85
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",738
CT,2017,Psychostimulants with abuse potential (T43.6),29
CT,2017,"Opioids (T40.0-T40.4,T40.6)",905
CT,2017,Methadone (T40.3),73
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",274
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",292
CT,2017,Psychostimulants with abuse potential (T43.6),30
CT,2017,"Opioids (T40.0-T40.4,T40.6)",926
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",772
CT,2017,Methadone (T40.3),81
CT,2017,Psychostimulants with abuse potential (T43.6),35
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",830
CT,2017,Methadone (T40.3),90
CT,2017,"Opioids (T40.0-T40.4,T40.6)",959
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",272
CT,2017,Number of Drug Overdose Deaths,"1,092"
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",837
CT,2017,Psychostimulants with abuse potential (T43.6),31
CT,2017,"Opioids (T40.0-T40.4,T40.6)",979
CT,2017,Methadone (T40.3),83
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",280
CT,2017,"Opioids (T40.0-T40.4,T40.6)",967
CT,2017,Psychostimulants with abuse potential (T43.6),31
CT,2017,Number of Deaths,"31,543"
CT,2017,Methadone (T40.3),81
CT,2017,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",281
CT,2017,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",816
CT,2018,Methadone (T40.3),91
CT,2018,Other natural & semi-synthetic opioids,188
CT,2018,Psychostimulants with abuse potential (T43.6),44
CT,2018,"Synthetic opioids, excl. methadone and rehabilitory compounds",787
CT,2018,"Opioids (T40.0-T40.4,T40.6)",958
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",258
CT,2019,Heroin ,361
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",855
CT,2018,Cocaine,314
CT,2018,"Opioids (T40.0-T40.4,T40.6)",940
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",237
CT,2018,Psychostimulants with abuse potential (T43.6),61
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",864
CT,2018,Methadone (T40.3),79
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",891
CT,2018,Methadone (T40.3),78
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",230
CT,2018,Psychostimulants with abuse potential (T43.6),66
CT,2018,"Opioids (T40.0-T40.4,T40.6)",957
CT,2018,Psychostimulants with abuse potential (T43.6),36
CT,2018,Methadone (T40.3),95
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",844
CT,2018,"Opioids (T40.0-T40.4,T40.6)",951
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",272
CT,2018,Psychostimulants with abuse potential (T43.6),39
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",834
CT,2018,Number of Deaths,"31,745"
CT,2018,Methadone (T40.3),97
CT,2018,"Opioids (T40.0-T40.4,T40.6)",944
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",270
CT,2018,Psychostimulants with abuse potential (T43.6),58
CT,2018,Methadone (T40.3),83
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",242
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",865
CT,2018,"Opioids (T40.0-T40.4,T40.6)",947
CT,2018,Psychostimulants with abuse potential (T43.6),57
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",242
CT,2018,"Opioids (T40.0-T40.4,T40.6)",953
CT,2018,Methadone (T40.3),83
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",868
CT,2018,Methadone (T40.3),96
CT,2018,Psychostimulants with abuse potential (T43.6),38
CT,2018,"Opioids (T40.0-T40.4,T40.6)",959
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",853
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",265
CT,2018,Psychostimulants with abuse potential (T43.6),51
CT,2018,Methadone (T40.3),88
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",844
CT,2018,"Opioids (T40.0-T40.4,T40.6)",940
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",243
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",907
CT,2018,Number of Drug Overdose Deaths,"1,097"
CT,2018,Psychostimulants with abuse potential (T43.6),64
CT,2018,Methadone (T40.3),83
CT,2018,"Opioids (T40.0-T40.4,T40.6)",974
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",238
CT,2018,Methadone (T40.3),92
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",895
CT,2018,Psychostimulants with abuse potential (T43.6),64
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",239
CT,2018,"Opioids (T40.0-T40.4,T40.6)",962
CT,2018,Psychostimulants with abuse potential (T43.6),61
CT,2018,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",890
CT,2018,Methadone (T40.3),90
CT,2018,"Opioids (T40.0-T40.4,T40.6)",959
CT,2018,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",244
CT,2019,Methadone (T40.3),74
CT,2019,"Opioids (T40.0-T40.4,T40.6)",965
CT,2020,Heroin ,333
CT,2019,Psychostimulants with abuse potential (T43.6),66
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",240
CT,2019,"Synthetic opioids, excl. methadone and rehabilitory compounds",974
CT,2019,Other natural & semi-synthetic opioids,209
CT,2019,Cocaine,375
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",910
CT,2019,Methadone (T40.3),90
CT,2019,Psychostimulants with abuse potential (T43.6),61
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",278
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,083"
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,033"
CT,2019,Methadone (T40.3),85
CT,2019,Number of Deaths,"31,929"
CT,2019,Number of Drug Overdose Deaths,"1,231"
CT,2019,Psychostimulants with abuse potential (T43.6),69
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,119"
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,077"
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",285
CT,2019,Psychostimulants with abuse potential (T43.6),71
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",235
CT,2019,Methadone (T40.3),78
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",909
CT,2019,"Opioids (T40.0-T40.4,T40.6)",973
CT,2019,Psychostimulants with abuse potential (T43.6),71
CT,2019,Methadone (T40.3),76
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",906
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",232
CT,2019,"Opioids (T40.0-T40.4,T40.6)",973
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,027"
CT,2019,Psychostimulants with abuse potential (T43.6),58
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",263
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",976
CT,2019,Methadone (T40.3),87
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,000"
CT,2019,Psychostimulants with abuse potential (T43.6),56
CT,2019,Methadone (T40.3),78
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",255
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",946
CT,2019,Psychostimulants with abuse potential (T43.6),71
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",903
CT,2019,Methadone (T40.3),75
CT,2019,"Opioids (T40.0-T40.4,T40.6)",964
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",241
CT,2019,Psychostimulants with abuse potential (T43.6),59
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",932
CT,2019,Methadone (T40.3),71
CT,2019,"Opioids (T40.0-T40.4,T40.6)",988
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",246
CT,2019,Psychostimulants with abuse potential (T43.6),67
CT,2019,Methadone (T40.3),81
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,047"
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,089"
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",275
CT,2019,Psychostimulants with abuse potential (T43.6),63
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",278
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,081"
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,036"
CT,2019,Methadone (T40.3),80
CT,2019,Psychostimulants with abuse potential (T43.6),61
CT,2019,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",277
CT,2019,Methadone (T40.3),83
CT,2019,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,031"
CT,2019,"Opioids (T40.0-T40.4,T40.6)","1,079"
CT,2020,Psychostimulants with abuse potential (T43.6),75
CT,2020,"Synthetic opioids, excl. methadone and rehabilitory compounds","1,150"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,224"
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,196"
CT,2021,Heroin ,205
CT,2020,Other natural & semi-synthetic opioids,217
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",289
CT,2020,Methadone (T40.3),96
CT,2020,Cocaine,453
CT,2020,Psychostimulants with abuse potential (T43.6),84
CT,2020,Methadone (T40.3),105
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,201"
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,186"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",290
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,258"
CT,2020,Psychostimulants with abuse potential (T43.6),91
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",311
CT,2020,Methadone (T40.3),112
CT,2020,Number of Drug Overdose Deaths,"1,385"
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,244"
CT,2020,Psychostimulants with abuse potential (T43.6),70
CT,2020,Methadone (T40.3),82
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,125"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,158"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",277
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,108"
CT,2020,Psychostimulants with abuse potential (T43.6),66
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,146"
CT,2020,Methadone (T40.3),86
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",283
CT,2020,Psychostimulants with abuse potential (T43.6),84
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",297
CT,2020,Methadone (T40.3),100
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,221"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,239"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,229"
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,209"
CT,2020,Psychostimulants with abuse potential (T43.6),82
CT,2020,Methadone (T40.3),100
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",292
CT,2020,Psychostimulants with abuse potential (T43.6),70
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,147"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,175"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",277
CT,2020,Methadone (T40.3),87
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,232"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",295
CT,2020,Methadone (T40.3),104
CT,2020,Psychostimulants with abuse potential (T43.6),77
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,210"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,245"
CT,2020,Psychostimulants with abuse potential (T43.6),91
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,230"
CT,2020,Methadone (T40.3),114
CT,2020,Number of Deaths,"37,032"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",311
CT,2020,Psychostimulants with abuse potential (T43.6),92
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,227"
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,241"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",300
CT,2020,Methadone (T40.3),107
CT,2020,Psychostimulants with abuse potential (T43.6),91
CT,2020,"Opioids (T40.0-T40.4,T40.6)","1,229"
CT,2020,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",297
CT,2020,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,215"
CT,2020,Methadone (T40.3),108
CT,2021,Psychostimulants with abuse potential (T43.6),96
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,275"
CT,2021,Other natural & semi-synthetic opioids,220
CT,2021,"Synthetic opioids, excl. methadone and rehabilitory compounds","1,312"
CT,2021,Methadone (T40.3),122
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,261"
CT,2022,Heroin ,109
CT,2021,Cocaine,549
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",314
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,352"
CT,2021,Psychostimulants with abuse potential (T43.6),100
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",314
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,364"
CT,2021,Methadone (T40.3),124
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,402"
CT,2021,Number of Drug Overdose Deaths,"1,562"
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,411"
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",304
CT,2021,Psychostimulants with abuse potential (T43.6),92
CT,2021,Methadone (T40.3),124
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",322
CT,2021,Number of Deaths,"39,212"
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,287"
CT,2021,Psychostimulants with abuse potential (T43.6),94
CT,2021,Methadone (T40.3),124
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,273"
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,270"
CT,2021,Psychostimulants with abuse potential (T43.6),96
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,257"
CT,2021,Methadone (T40.3),113
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",313
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,313"
CT,2021,Methadone (T40.3),125
CT,2021,Psychostimulants with abuse potential (T43.6),103
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,299"
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",310
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,302"
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,288"
CT,2021,Psychostimulants with abuse potential (T43.6),102
CT,2021,Methadone (T40.3),128
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",312
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,290"
CT,2021,Psychostimulants with abuse potential (T43.6),95
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,277"
CT,2021,Methadone (T40.3),123
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",316
CT,2021,Psychostimulants with abuse potential (T43.6),102
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,277"
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,291"
CT,2021,Methadone (T40.3),125
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",312
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",309
CT,2021,Methadone (T40.3),124
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,409"
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,419"
CT,2021,Psychostimulants with abuse potential (T43.6),93
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,382"
CT,2021,Methadone (T40.3),129
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",307
CT,2021,Psychostimulants with abuse potential (T43.6),92
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,393"
CT,2021,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,367"
CT,2021,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",306
CT,2021,Methadone (T40.3),125
DE,2018,Heroin ,151
CT,2021,Psychostimulants with abuse potential (T43.6),95
CT,2021,"Opioids (T40.0-T40.4,T40.6)","1,378"
CT,2022,"Synthetic opioids, excl. methadone and rehabilitory compounds","1,303"
CT,2022,Methadone (T40.3),113
CT,2022,Psychostimulants with abuse potential (T43.6),88
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,399"
CT,2022,Other natural & semi-synthetic opioids,197
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,391"
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",299
CT,2022,Cocaine,585
CT,2022,Psychostimulants with abuse potential (T43.6),83
CT,2022,Methadone (T40.3),114
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,328"
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",288
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,323"
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,387"
CT,2022,Psychostimulants with abuse potential (T43.6),94
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,377"
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",304
CT,2022,Methadone (T40.3),122
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,398"
CT,2022,Psychostimulants with abuse potential (T43.6),92
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,389"
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",310
CT,2022,Number of Drug Overdose Deaths,"1,547"
CT,2022,Methadone (T40.3),126
CT,2022,Psychostimulants with abuse potential (T43.6),77
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,355"
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,350"
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",287
CT,2022,Number of Deaths,"35,415"
CT,2022,Methadone (T40.3),109
CT,2022,Psychostimulants with abuse potential (T43.6),81
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,381"
CT,2022,Methadone (T40.3),111
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,375"
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",294
CT,2022,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)","1,388"
CT,2022,Methadone (T40.3),117
CT,2022,"Opioids (T40.0-T40.4,T40.6)","1,398"
CT,2022,Psychostimulants with abuse potential (T43.6),90
CT,2022,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",303
CT,2022,Methadone (T40.3),111
CT,2022,Psychostimulants with abuse potential (T43.6),84
